変換前,変換後
NEW,新製品
Li-Ion,Li-Ion
40Vmax,40Vmax
Worldwide,Worldwide
Japan,Japan
Cutting boards,カッティングボード
CA,CA
JP,JP
MX,MX
AR,AR
AT,AT
BE,BE
BR,BR
BT,BT
CH,CH
CL,CL
CN,CN
CO,CO
CY,CY
DE,DE
DM,DM
EC,EC
EG,EG
ES,ES
EU,EU
FR,FR
GB,GB
HK,HK
IN,IN
IT,IT
KH,KH
MN,MN
MO,MO
MY,MY
NL,NL
NZ,NZ
PA,PA
PE,PE
PH,PH
PL,PL
QA,QA
RE,RE
RU,RU
SA,SA
SE,SE
SG,SG
SI,SI
TH,TH
TR,TR
TW,TW
UA,UA
VN,VN
ZA,ZA
Net weight,質量
Net weight (Battery),質量（バッテリー含む）
Net weight (Attachment),質量（付属品含む）
Sawing,切断
Air Compressor,エアコンプレッサ
Cordless Air Compressor,充電式エアコンプレッサ
Angle Grinder,ディスクグラインダ
Disc Grinder,ディスクグラインダ
Cordless Angle Grinder,充電式ディスクグラインダ
Cordless Grinder,充電式ディスクグラインダ
Cordless Flat-head Angle Grinder,充電式フラットヘッドグラインダ
Battery Powered Pruning Shears,充電式せん定ハサミ
Cordless Pruning Shears,充電式せん定ハサミ
Bench Grinder,ベンチグラインダ
Petrol Blower,エンジンブロワ
Petrol Blower / Vacuum,エンジンブロワ
Blower,ブロワ
Blower Vacuum,ブロワ
Cordless Blower Vacuum,ブロワ
Cordless Dust Blower,充電式エアダスタ
Battery Powered Blower,充電式ブロワ
Cordless Blower,充電式ブロワ
Electric Blower,電気ブロワ
Petrol Blower,エンジン背負ブロワ
Battery Powered Backpack Blower,充電式背負ブロワ
Mist Blower,エンジンミストブロワ
Petrol Blower,エンジンミストブロワ
Brush Cutter,エンジン刈払機
Petrol Backpack Brushcutter,エンジン刈払機
Petrol Brushcutter,エンジン刈払機
Petrol String Trimmer,エンジン刈払機
String Trimmer,エンジン刈払機
Petrol String Trimmer,エンジン草刈機
String Trimmer,エンジン草刈機
Petrol Backpack Brushcutter,エンジン草刈機
Cordless Brushcutter,充電式草刈機
Battery Powered Grass Trimmer,充電式草刈機
Cordless Grass Trimmer,充電式草刈機
Cordless String Trimmer,充電式草刈機
Cordless Grass Cutter,充電式草刈機
String Trimmer,草刈機
Electric Grass Trimmer,電気草刈機
Electric Trimmer,電気草刈機
String Trimmer,電気草刈機
Cordless Caulking Gun,充電式コーキングガン
Cement Shear,セメントシャー
Cordless Cement Shear,充電式セメントシャー
Chain Mortiser,チェーンノミ
Petrol Chain Saw,エンジンチェンソー
Chain Saw,チェンソー
Telescopic Petrol Pole Saw,テレスコープ式エンジンポールソー
Cordless Chain Saw,充電式チェンソー
Cordless Pole Saw,充電式高枝チェンソー
Cordless Telescopic Pole Saw,充電式高枝チェンソー
Electric Chain Saw,電気チェンソー
Cordless Pruning Saw,充電式ハンディソー、プルーニングソー
Long Reach Pruners,電気高枝チェンソー
Long Reach Pruners,エンジン高枝チェンソー
Chisel Mortiser,5寸カクノミ
Hollow Chisel Mortiser,5寸カクノミ
Hypoid Saw,ハイポイドソー
Plunge Cut Circular Saw,プランジマルノコ
Circular Saw,マルノコ
Cordless Plunge Cut Saw,充電式プランジマルノコ
Cordless Circular Saw,充電式マルノコ
Cordless Rear Handle Saw,充電式リヤハンドルソー
Cordless Dustless Circular Saw,充電式防じんマルノコ
Circular Saw with Dust Collection,防じんマルノコ
Dustless Circular Saw,防じんマルノコ
Coffee Harvester,エンジンコーヒーハーベスタ
Cordless Coffee Maker,充電式コーヒーメーカー
Petrol Power Cutter,エンジンカッタ
Power Cutter,エンジンカッタ
Cutter,カッタ
Angle Cutter,カッタ
Cordless Cutter,充電式カッタ
Cordless Compact Cut Off,充電式カッタ
Cordless Power Cutter,充電式パワーカッタ
Cordless Dustless Cutter,充電式防じんカッタ
Wall Chaser,二列溝切カッタ
Dustless Cutter,防じんカッタ
Cordless Power Scraper,充電式ケレン
Cordless Breaker,充電式ハンマ
Cordless Demolition Hammer,充電式ハンマ
Power Scraper,電動ケレン
Demolition Hammer,電動ハンマ
Electric Breaker,電動ハンマ
Pneumatic Hammer,エアハンマ
Combination Hammer,ハンマドリル
Rotary Hammer,ハンマドリル
Combination Hammer with Dust Extraction,吸じんハンマドリル
Rotary Hammer with Dust Extraction,吸じんハンマドリル
Combination Hammer with Self Dust Collection,集じんハンマドリル
Cordless Combination Hammer,充電式ハンマドリル
Cordless Rotary Hammer,充電式ハンマドリル
Dust Collection System,集じんシステム
Dust Extraction System,集じんシステム
Concrete Vibrator,コンクリートバイブレータ
Battery Powered Concrete Vibrator,充電式コンクリートバイブレータ
Cordless Concrete Vibrator,充電式コンクリートバイブレータ
Cordless Cooler & Warmer Box,充電式保冷温庫
Cordless Fan Jacket,充電式ファンジャケット
Cordless Fan Vest,充電式ファンベスト
Cordless Heated Jacket,充電式暖房ジャケット
Cordless Heated Blanket,充電式暖房ひざ掛け
Cordless Heated Vest,充電式暖房ベスト
Battery Heated Base Layer Shirt,充電式暖房インナー
Petrol Cultivator,ロータリ式エンジン管理機
Cordless Cultivator,充電式耕うん機
Diamond Core Drill,ダイヤコアドリル
Diatec Drill,ダイヤコアドリル
Diamond Core Hammer Drill,ダイヤコア震動ドリル
2-Speed Drill,2スピードドリル
2-Speed Hammer Drill,2スピード震動ドリル
Hammer Drill,2スピード震動ドリル
Angle Drill,アングルドリル
Drill,ドリル
High Speed Drill,ドリル
Boring Drill,ドリル
Borer,ボーラー
Portable Drill Press,ボーラー
High Speed Drill,高速ドリル
Cordless High Speed Drill,高速ドリル
Cordless Angle Drill,充電式アングルドリル
Cordless Drill,充電式ドリル
Hammer Drill,震動ドリル
Electric Drill for Mushroom Cultivating,椎茸ドリル
High Speed Drill,椎茸ドリル
Drill,電気ドリル
4-Speed Drill,電気ドリル
Cordless Hammer Drill,電池 震動ドリル
Uni Drill,電気ユニドリル
Unidrill,電気ユニドリル
Magnetic Drill,磁気ボール盤
Drilling Machine,卓上ボール盤
