変換前,変換後
NEW,新製品
Cordless Recipro Saw,充電式レシプロソー
Li-Ion,Li-Ion
40Vmax,40Vmax
Worldwide,Worldwide
Japan,Japan
Cutting boards,カッティングボード
CA,CA
JP,JP
MX,MX
AR,AR
AT,AT
BE,BE
BR,BR
BT,BT
CH,CH
CL,CL
CN,CN
CO,CO
CY,CY
DE,DE
DM,DM
EC,EC
EG,EG
ES,ES
EU,EU
FR,FR
GB,GB
HK,HK
IN,IN
IT,IT
KH,KH
MN,MN
MO,MO
MY,MY
NL,NL
NZ,NZ
PA,PA
PE,PE
PH,PH
PL,PL
QA,QA
RE,RE
RU,RU
SA,SA
SE,SE
SG,SG
SI,SI
TH,TH
TR,TR
TW,TW
UA,UA
VN,VN
ZA,ZA
Net weight,質量
Net weight (Battery),質量（バッテリー含む）
Net weight (Attachment),質量（付属品含む）
Sawing,切断
w/o Vise,バイス無し
